llm,score,wins,total_matches,EN,LT
ablation-178-finalsft2-shisa-v2-mistral-nemo-japanese-12b,0.497361337,987,1832,0.1694179918,6.2183903554
abeja/ABEJA-Qwen2.5-32b-Japanese-v0.1,0.4903720998,1006,1856,0.1682269737,6.2019408564
ablation-179-finalsft2-shisa-v2-unphi-4-14b,0.4722690096,981,1830,0.1647271782,6.1592065974
ablation-152-finalsft-shisa-v2-mistral-nemo-japanese-12b.run2,0.4526120439,979,1834,0.1633016379,6.11260091
ablation-182-a177.finaldpo2.6.5e7-shisa-v2-mistral-nemo-12b,0.4329742207,984,1848,0.1592024073,6.0658366078
ablation-177-finalsft2-shisa-v2-mistral-nemo-12b,0.4055601653,975,1847,0.156117037,6.0002281351
ablation-193-a175.finaldpo2.8e7-shisa-v2-qwen2.5-7b,0.3951017162,982,1859,0.1531264972,5.9751022798
ablation-169-a163.dpo.finaldpo.if50-shisa-v2-llama-3.1-8b/,0.3668325949,965,1849,0.1504020158,5.9069340056
ablation-184-a178.finaldpo2.6.5e7-shisa-v2-mistral-nemo-japanese-12b,0.3603864476,955,1838,0.146916234,5.891339789
ablation-192-a175.finaldpo2.8e7-shisa-v2-llama-3.1-8b,0.346470525,951,1838,0.1454404775,5.8576142957
ubitus/alice-v3-1-405b-instruct-rc1,0.3295834841,945,1838,0.142663102,5.8165802865
cyberagent/Mistral-Nemo-Japanese-Instruct-2408,0.3254297119,956,1857,0.1443020874,5.806469416
meta-llama/Llama-3.3-70B-Instruct,0.3024336593,938,1839,0.141021573,5.7503733699
ablation-191-finalsft2-shisa-v2-qwen2.5-7b,0.2698465426,931,1840,0.1360334512,5.67055231
ablation-190-a175.finaldpo2.7.2e7-shisa-v2-llama-3.1-8b,0.2659377299,931,1844,0.1334515883,5.6609535308
microsoft/phi-4,0.2482244694,927,1847,0.1335804194,5.6173943414
ablation-176-a175.finaldpo2-shisa-v2-llama-3.1-8b,0.1574080495,888,1829,0.1196757284,5.3927096015
allenai/Llama-3.1-Tulu-3-70B,0.1234880119,887,1839,0.1150875438,5.3083283136
ablation-175-finalsft2-shisa-v2-llama-3.1-8b,0.094412533,886,1849,0.1119391421,5.2358561622
shisa-ai/shisa-v2-llama3.1-8b-preview,0.0704530743,874,1844,0.1089310639,5.1760598671
ablation-174-shisav2.if50.tltweak-shisa-v2-llama-3.1-8b,0.0558964636,875,1851,0.1073219797,5.1397047863
ablation-163-shisav2.if50-shisa-v2-llama-3.1-8b,0.0195098153,860,1840,0.1034907231,5.0487729912
Qwen/Qwen2.5-14B-Instruct,0.0105837367,854,1840,0.1030412971,5.0264590947
ablation-164-shisav2.if100-shisa-v2-llama-3.1-8b,0.0055371888,860,1849,0.1026061283,5.0138429366
Qwen/Qwen2.5-32B-Instruct,0.0027346495,852,1841,0.1020850993,5.0068366196
ablation-168-a163.dpo.finaldpo.if25-shisa-v2-llama-3.1-8b,-0.0451468958,843,1841,0.0962127257,4.8871519274
ablation-170-a174.dpo.finaldpo.if50.pl25-shisa-v2-llama-3.1-8b,-0.0587124266,829,1836,0.0955871979,4.8532610838
ablation-169-a163.dpo.finaldpo.if50-shisa-v2-llama-3.1-8b,-0.1380265768,812,1835,0.0886127853,4.6554803478
mistralai/Mistral-Small-3.1-24B-Instruct-2503,-0.2056144567,794,1829,0.0848482836,4.4877672395
ablation-172-a174.dpo.finaldpo.if50.pl100-shisa-v2-llama-3.1-8b,-0.3020961752,782,1856,0.0744911762,4.2504513586
ablation-171-a174.dpo.finaldpo.if50.pl50-shisa-v2-llama-3.1-8b,-0.3102408442,774,1847,0.0740880788,4.2305595261
tokyotech-llm/Llama-3.1-Swallow-8B-Instruct-v0.3,-0.3134730269,768,1848,0.0761729332,4.2226723954
AXCXEPT/Llama-3.1-8B-EZO-1.1-it,-0.335792796,761,1840,0.071973674,4.1683181784
unsloth/phi-4,-0.3480626225,759,1841,0.0709180531,4.1385230878
sbintuitions/sarashina2.2-3b-instruct-v0.1,-0.3999927128,738,1827,0.0701822666,4.0131409073
allenai/Llama-3.1-Tulu-3.1-8B,-0.5595554078,707,1844,0.0572337007,3.63650336
shisa-ai/shisa-v1-llama3-70b,-0.6156429374,685,1835,0.0546620107,3.5077304474
Qwen/Qwen2.5-7B-Instruct,-0.7107387667,664,1837,0.0487845044,3.2943562031
allenai/Llama-3.1-Tulu-3-8B,-0.8972431879,606,1810,0.0424886096,2.8961735239
shisa-ai/shisa-v1-llama3-8b,-1.241230772,544,1832,0.0282835526,2.2422182471
meta-llama/Meta-Llama-3-8B-Instruct,-1.2718477351,523,1815,0.0276412643,2.189411144
umiyuki/Llama-3-Umievo-itr014-Shizuko-8b,-1.2894991606,512,1775,0.0287023804,2.1593759516
mistralai/Mistral-Nemo-Instruct-2407,-1.3170286258,516,1794,0.0275424652,2.1131307749
weblab-GENIAC/Tanuki-8B-dpo-v1.0,-1.3726489225,482,1761,0.0264123128,2.0219221026
elyza/Llama-3-ELYZA-JP-8B,-1.5508692598,441,1758,0.022100715,1.749607555
llm-jp/llm-jp-3-7.2b-instruct3,-1.7410716692,417,1791,0.0172921907,1.4917686378
augmxnt/shisa-gamma-7b-v1,-1.7941352793,422,1806,0.0165635492,1.4256647411
gpt-4.5-preview-2025-02-27,-2.0486372709,351,1707,0.0133266643,1.1419014991
meta-llama/Llama-3.1-8B-Instruct,-2.1640932173,354,1841,0.0119697903,1.0302158976
tokyotech-llm/Swallow-7b-instruct-v0.1,-2.7683060398,246,1732,0.0065415437,0.5906108141
mistralai/Mistral-7B-Instruct-v0.1,-3.0538732872,229,1738,0.0043817001,0.4505054687
SakanaAI/TinySwallow-1.5B-Instruct,-3.1862281046,198,1747,0.004307041,0.3968728547
augmxnt/shisa-7b-v1,-4.2821443796,91,1805,0.0014395562,0.1362481033
ablation-168-kd-mistral-nemo-12b,-4.3122359579,90,1819,0.0013968829,0.1322626741
